,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
221,sigma_0_group,1,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.101,-0.252,0.052,50
222,sigma_0_group,1,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.041,-0.205,0.109,50
223,sigma_0_group,1,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.076,-0.22,0.083,50
224,sigma_0_group,2,alpha_group_mu,alpha_group_mu[NH],1.0,0.933,0.586,1.265,752
225,sigma_0_group,2,alpha_group_mu,alpha_group_mu[PH],1.0,0.766,0.524,1.137,752
226,sigma_0_group,2,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.095,0.013,0.182,752
227,sigma_0_group,2,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.103,0.026,0.17,752
228,sigma_0_group,2,beta_group_mu,beta_group_mu[NH],0.5,0.53,0.347,0.857,752
229,sigma_0_group,2,beta_group_mu,beta_group_mu[PH],0.5,0.699,0.527,0.928,752
230,sigma_0_group,2,beta_group_sigma,beta_group_sigma[NH],0.05,0.032,0.005,0.09,752
231,sigma_0_group,2,beta_group_sigma,beta_group_sigma[PH],0.05,0.06,0.01,0.107,752
232,sigma_0_group,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,0.055,-0.272,0.279,752
233,sigma_0_group,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.023,-0.174,0.373,752
234,sigma_0_group,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.058,-0.342,0.192,752
235,sigma_0_group,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,-0.029,-0.313,0.278,752
236,sigma_0_group,2,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.049,-0.171,0.125,752
